# 626778 non-edge tracers in default, 13961 voids
# VoidID CoreParticle CoreDens Zone#Parts Void#Zones Void#Parts VoidVol(Mpc/h^3) VoidDensRatio
67875 528233 0.223413 119 1 119 120691022.081356 1.265494
75262 596247 0.223527 166 1 166 50897468.511222 1.532394
82672 645498 0.223571 157 1 157 79730824.694100 1.661634
66866 520087 0.223780 12 1 12 20108446.122911 1.564233
32851 377167 0.223970 164 1 164 20535247.731718 1.770797
26529 334797 0.223983 80 1 80 35762971.861603 1.601889
6357 116744 0.224589 28 1 28 17401468.115894 1.420473
89629 694262 0.224620 240 1 240 28983338.805687 2.058986
92086 710748 0.224651 19 1 19 9612351.603997 1.675449
87313 678065 0.225073 75 1 75 64618189.420538 1.496042
17133 234072 0.225262 15 1 15 18533344.073480 1.912964
88484 685870 0.225287 128 1 128 21212252.881281 1.755840
75497 597913 0.225521 35 1 35 21929585.019256 1.677700
94559 727350 0.225658 19 1 19 10655001.575845 2.386601
24406 310817 0.225748 14 1 14 4866856.263829 1.000308
54196 466239 0.226353 69 1 69 37022322.953064 1.385420
21192 274422 0.226406 11 1 11 7217870.128438 1.000169
1901 51391 0.226687 83 1 83 15749425.403138 1.735609
21377 276203 0.226935 182 1 182 28276542.712932 1.729798
58759 483590 0.226994 107 1 107 55160216.576685 1.625020
91984 710079 0.227128 8 1 8 5724038.799941 1.597399
43701 427813 0.227174 38 1 38 17860274.338717 1.177074
79275 622529 0.227321 103 1 103 56676269.048636 1.709913
32787 376839 0.227372 144 1 144 24863506.503435 1.770207
26122 330606 0.227685 49 1 49 26604413.598984 1.311756
17227 235102 0.227994 58 1 58 38722701.149927 1.652396
104638 813695 0.228462 172 1 172 28987817.542679 1.476333
3184 75708 0.228962 40 1 40 12185147.384939 2.296735
29556 359001 0.228970 85 1 85 49786851.869966 1.212325
7365 128243 0.229146 55 1 55 45426746.341356 1.539564
104776 815581 0.229974 243 1 243 41042558.423672 1.453354
52294 458720 0.230055 65 1 65 56284636.538508 1.488578
68919 539310 0.230261 38 1 38 10420194.611275 1.777573
16618 228706 0.230839 239 1 239 35549515.990761 1.740145
64597 507214 0.231167 58 1 58 8954502.232817 1.986180
8706 143423 0.231208 317 1 317 36241223.879385 1.798397
16838 231246 0.231481 104 1 104 53520246.262781 1.314782
27337 342082 0.231519 27 1 27 24938837.391210 1.627059
98740 756306 0.231792 223 1 223 34157307.938843 1.586540
8186 137683 0.231852 7 1 7 9252499.771036 1.477936
12724 187618 0.232123 152 1 152 24707026.040891 1.445401
25410 323144 0.232157 251 1 251 38621525.747048 1.801305
34135 383914 0.232200 78 1 78 13353313.961001 2.032721
18587 248422 0.232342 88 1 88 12844894.712698 1.512628
16470 227092 0.232708 20 1 20 13865180.368350 1.574746
13446 195774 0.232725 110 1 110 42666908.224540 1.701135
47920 442660 0.232827 23 1 23 26259899.604674 1.331163
23927 305344 0.232827 195 1 195 123690986.580695 1.224030
12746 187869 0.232889 20 1 20 9121483.865170 1.032388
73437 582525 0.232952 37 1 37 19999267.730980 1.351786
14750 209435 0.233170 66 1 66 46184699.155414 1.336297
10822 166788 0.233240 13 1 13 9743407.891918 1.427612
86101 669507 0.233404 85 1 85 17433975.670048 1.384629
72355 573272 0.233547 77 1 77 29045380.326320 1.740223
69082 541102 0.233696 53 1 53 21972610.263151 1.957154
96951 743753 0.233831 28 1 28 15577023.397695 2.128014
81107 635073 0.234059 25 1 25 26301511.476649 1.589725
64241 505438 0.234856 161 1 161 20944189.458994 1.536390
92468 713317 0.235312 75 1 75 47574374.151164 1.600366
68118 530669 0.235397 20 1 20 7358966.863632 2.148428
77947 613821 0.235617 13 1 13 17182134.820523 1.294144
81757 639257 0.236180 14 1 14 11902329.828248 1.645780
78556 617674 0.236328 52 1 52 5392871.074759 1.955571
84356 657317 0.236382 229 1 229 37285742.439043 1.503802
50597 452478 0.237182 31 1 31 23107309.293481 1.128231
9594 153284 0.237448 33 1 33 17321895.276811 1.692608
3154 75316 0.237969 298 1 298 53217931.515789 1.908333
6824 122213 0.238354 211 1 211 33208091.028631 1.399943
67619 526008 0.238519 24 1 24 19706497.833316 1.886358
20855 271430 0.238562 64 1 64 11094283.075149 1.445491
103446 798239 0.238773 85 1 85 17448895.003767 1.859302
4938 100095 0.238987 154 1 154 30690912.350505 1.521159
17579 238611 0.239081 79 1 79 45371790.035801 1.499938
16152 224043 0.239240 38 1 38 28196622.955288 1.287952
53256 462373 0.239371 37 1 37 28348844.946593 1.367749
67087 521636 0.239476 66 1 66 37897787.546736 2.198276
23627 301713 0.239679 86 1 86 61859342.499613 1.189036
86432 671814 0.240151 321 1 321 44732230.064372 1.751719
68637 536192 0.240360 26 1 26 27233621.079988 1.742641
69786 548541 0.240660 164 1 164 18848709.566381 1.767353
15407 216046 0.240825 7 1 7 3893237.579200 1.589712
68274 532250 0.240968 32 1 32 34992170.211911 1.483818
37963 403511 0.241030 40 1 40 25231974.398463 1.533721
73027 578936 0.241124 46 1 46 30479952.824872 1.174435
84135 655736 0.241495 64 1 64 44781129.061699 1.747087
29383 357916 0.241577 41 1 41 21770553.145064 1.590651
5013 100985 0.241698 9 1 9 11135933.493631 1.425794
29261 357147 0.241750 7 1 7 3156834.098048 2.262835
25166 320028 0.241810 61 1 61 7696625.086358 1.642223
3734 84168 0.241867 133 1 133 21730042.601857 1.397321
2687 67534 0.241884 144 1 144 22707563.661423 1.370810
49617 448789 0.241890 30 1 30 24660054.368908 1.106271
25313 321844 0.241918 21 1 21 22337095.019132 1.809130
20792 270826 0.242160 79 1 79 10875599.563752 1.664688
24222 308768 0.242207 55 1 55 9657219.738032 2.376009
30028 361744 0.242227 37 1 37 10031467.773547 2.165645
97231 745674 0.242335 221 1 221 35365006.711055 1.440524
69249 543059 0.242598 175 1 175 35529049.631144 1.369011
27306 341848 0.242601 29 1 29 15125190.421524 1.818059
46278 437058 0.242715 81 1 81 15616942.894462 1.344293
10872 167346 0.243648 7 1 7 5338847.227561 1.613220
1360 36005 0.243700 128 1 128 27900567.426798 1.494242
56223 474194 0.244050 29 1 29 18505443.744675 1.569355
105257 821606 0.244062 113 1 113 22198878.258668 1.796108
74730 592510 0.244130 57 1 57 8446013.233692 1.654502
77437 610705 0.244862 100 1 100 16945602.440882 1.428461
40207 413859 0.244879 17 1 17 18818992.045107 1.275468
73184 580384 0.244941 22 1 22 18177708.494155 1.645124
18383 246657 0.245028 57 1 57 36534177.331844 1.550593
77407 610508 0.245155 86 1 86 53456626.170913 1.154219
5652 108861 0.245170 69 1 69 11421080.360667 2.291615
26972 338819 0.245429 83 1 83 14495569.942232 1.765528
4499 94523 0.245785 36 1 36 19056823.992695 2.017464
85279 663726 0.246067 30 1 30 16113708.248845 2.104759
37484 401021 0.246362 26 1 26 23151490.932583 1.723149
71499 565416 0.246432 22 1 22 13673545.491511 1.639336
103343 797160 0.246442 110 1 110 18965762.459008 1.600771
25497 324046 0.246468 26 1 26 8031746.581820 2.476158
71352 563977 0.246549 147 1 147 24903851.847326 1.375639
37046 398689 0.246721 123 1 123 20199324.101803 1.626527
2968 72467 0.246777 171 1 171 27016347.269415 1.757693
10462 162895 0.247061 145 1 145 20550280.869410 1.555086
67764 527245 0.247276 50 1 50 21011242.025525 2.012864
94658 727946 0.247384 118 1 118 21086701.401656 1.519897
70358 554208 0.247557 10 1 10 6589207.805174 1.944862
63825 503530 0.247689 16 1 16 16026705.111671 1.238741
99154 759277 0.247703 89 1 89 15624433.765637 1.814228
73232 580841 0.247841 179 1 179 26689711.512115 1.953604
4672 96960 0.248252 87 1 87 14744222.444972 1.782390
74336 589783 0.248368 185 1 185 27643040.049730 1.765280
77247 609501 0.248544 138 1 138 15376386.993720 1.539339
7830 133491 0.248548 17 1 17 12587536.206042 1.565806
5776 110398 0.248794 205 1 205 30410697.600804 1.466093
57542 479207 0.248863 57 1 57 18717761.575789 2.396658
43719 427878 0.248891 66 1 66 35878794.937105 1.208864
76741 606238 0.249028 96 1 96 49586667.010786 1.180786
5510 107074 0.249080 26 1 26 15729709.782631 1.933267
16352 225909 0.249464 31 1 31 19664555.562710 1.506305
69743 548134 0.249644 110 1 110 17230198.643534 1.125419
49362 447822 0.249797 47 1 47 33204878.819722 1.595288
34376 385127 0.250008 18 1 18 13308458.675802 1.272581
97267 745824 0.250267 224 1 224 39657398.875873 1.175695
12935 190031 0.250310 107 1 107 18686557.260678 1.512004
89170 690863 0.250333 136 1 136 16911916.464945 1.432199
20795 270842 0.250479 126 1 126 21266731.944370 1.608177
38754 407341 0.250528 24 1 24 29296006.043104 1.432539
5470 106665 0.250660 228 1 228 35693037.484794 1.440593
68862 538620 0.250752 25 1 25 4631871.251108 1.903753
99761 764363 0.250875 99 1 99 20238513.050487 1.954967
4671 96948 0.250994 209 1 209 31154296.429911 1.442045
14613 207991 0.251055 86 1 86 13738035.633106 1.576500
36614 396362 0.251189 100 1 100 16887272.398199 1.556076
26369 333253 0.251286 118 1 118 19935409.017878 1.522270
43486 426997 0.251514 125 1 125 19714555.888807 1.686162
82053 641302 0.251515 302 1 302 49839972.627574 1.656510
81489 637479 0.251790 286 1 286 35729730.088269 1.215755
80882 633564 0.251909 172 1 172 24097550.700325 1.791133
17411 237011 0.251949 84 1 84 9762640.763314 1.813056
98981 758053 0.252396 194 1 194 30356126.760318 1.695639
58954 484328 0.252525 95 1 95 19059191.849547 1.996003
96077 737636 0.252727 67 1 67 11672064.009301 1.291621
94351 726060 0.252790 261 1 261 44130243.759433 1.556675
90008 697054 0.252885 66 1 66 29994615.592011 1.330898
20402 266974 0.253048 153 1 153 25605802.093499 1.663722
91304 705712 0.253310 28 1 28 25452809.172055 1.276643
1764 47993 0.253368 181 1 181 37385724.735757 1.771059
40570 415403 0.253424 125 1 125 20823245.204718 1.869879
11416 173015 0.253533 103 1 103 17693437.714652 1.517540
70216 552867 0.253534 62 1 62 7936050.289564 1.335253
819 19981 0.253605 51 1 51 11535444.175551 2.340083
17752 240236 0.253769 104 1 104 16295152.163479 1.533480
23297 297538 0.253839 32 1 32 6005105.243890 1.825663
103118 794558 0.253886 116 1 116 27280592.751971 1.825272
28558 352160 0.254066 127 1 127 20996080.399476 1.742364
25888 328321 0.254109 67 1 67 15648951.179575 1.507125
70026 551014 0.254146 177 1 177 24692011.258678 1.603204
46834 438983 0.254146 160 1 160 28817607.181486 1.481480
874 21393 0.254381 190 1 190 30889592.060368 1.545793
17347 236324 0.254555 94 1 94 15263190.587331 1.451903
70266 553339 0.254664 114 1 114 18472697.569287 1.385350
11246 171121 0.254698 156 1 156 26011586.678304 1.361549
15781 219946 0.254764 62 1 62 11808940.819763 1.392926
26625 335788 0.255051 122 1 122 20091247.038641 1.464582
19221 255025 0.255162 121 1 121 23871631.458918 1.531514
97628 748362 0.255290 96 1 96 14900069.643474 1.548887
91160 704722 0.255434 78 1 78 32047822.815388 1.421280
52233 458499 0.255518 41 1 41 23120892.348294 1.948581
21505 277561 0.255656 170 1 170 21177707.868905 1.584470
85522 665344 0.255751 173 1 173 22740713.657360 1.311102
84087 655410 0.255814 36 1 36 28916524.860389 1.418272
8668 143166 0.255866 98 1 98 15313574.542948 1.484648
48641 445154 0.255974 19 1 19 11342808.925080 1.389426
72216 572133 0.256320 174 1 174 28579151.147595 1.766679
27525 343777 0.256584 24 1 24 45802923.537765 1.435846
30295 363327 0.256672 171 1 171 31067603.500339 1.620876
104499 811803 0.256983 204 1 204 47354420.440587 1.647573
38621 406719 0.257118 68 1 68 51270525.276120 1.197961
22513 288254 0.257205 151 1 151 19951506.773380 1.297422
67205 522518 0.257251 20 1 20 14934728.459824 1.894072
54953 469340 0.257298 8 1 8 2411368.516679 1.488550
4537 94980 0.257349 56 1 56 9224841.734559 1.890545
22947 293152 0.258158 74 1 74 11285899.596509 1.819285
85006 661817 0.258162 62 1 62 9682497.068820 1.398978
46610 438131 0.258282 182 1 182 29444189.828924 1.561929
100161 767498 0.258354 172 1 172 27669416.873739 1.258855
76027 601489 0.258459 84 1 84 11032687.592667 1.598010
69379 544523 0.258545 19 1 19 7555199.788081 1.695875
15514 217415 0.258611 84 1 84 12899985.013253 1.637284
58998 484484 0.258713 26 1 26 24170899.196316 1.395201
17185 234656 0.258722 55 1 55 24267485.729326 1.530168
26915 338320 0.258773 130 1 130 19478082.246700 1.443521
28781 353966 0.258847 109 1 109 12099886.182767 1.560476
10073 158576 0.259078 103 1 103 15240187.500450 1.403682
11159 170289 0.259219 128 1 128 13676375.906446 1.582278
36044 393559 0.259324 15 1 15 17099087.289176 1.677326
13051 191587 0.259345 106 1 106 26455055.062477 1.100040
84953 661507 0.259450 223 1 223 35003954.429735 1.357970
2907 71582 0.259512 96 1 96 15713411.952403 1.423591
3537 80857 0.259751 81 1 81 13275064.551989 1.529380
5368 105596 0.260003 159 1 159 24933532.657641 1.449878
86035 668962 0.260106 67 1 67 10703549.983514 1.614663
97507 747490 0.260139 49 1 49 22940384.563114 1.761225
39080 408906 0.260144 31 1 31 31452022.307033 1.665318
92230 711716 0.260215 120 1 120 18206412.792961 1.494765
31065 367714 0.260318 18 1 18 14179416.999262 1.109303
20942 272074 0.260325 68 1 68 11456600.049004 1.937164
9295 149966 0.260357 171 1 171 33047058.407176 1.558325
9623 153660 0.260628 110 1 110 18134042.644026 1.630578
45401 434055 0.260639 118 1 118 20204243.370303 1.791725
275 4466 0.260664 111 1 111 26034677.871487 1.692322
90907 703028 0.260722 77 1 77 13369815.537051 1.071214
16965 232434 0.260848 87 1 87 15295323.689704 1.262984
