# 691293 non-edge tracers in default, 15288 voids
# VoidID CoreParticle CoreDens Zone#Parts Void#Zones Void#Parts VoidVol(Mpc/h^3) VoidDensRatio
20021 275828 0.145845 66 1 66 44629075.815720 2.447950
52020 486305 0.147008 50 1 50 43255256.570548 1.223245
68421 552508 0.149108 7 1 7 13566983.777511 1.358997
59312 514984 0.150545 41 1 41 46629962.869926 1.438396
27003 355756 0.150648 21 1 21 10422606.178415 2.262493
30078 383728 0.150955 27 1 27 22047280.307409 1.972760
69244 557746 0.151410 20 1 20 12216302.684371 2.946602
28297 369022 0.152226 77 1 77 131940909.574520 1.477304
23107 308728 0.153101 47 1 47 44258336.413645 2.248952
78810 645468 0.153275 9 1 9 11167455.030520 1.135882
32151 396843 0.153702 23 1 23 17374465.662983 1.304118
25728 340275 0.155270 58 1 58 46889857.555478 1.615447
19790 273395 0.155277 82 1 82 55275236.471441 1.187562
43084 452923 0.155693 84 1 84 49798439.298015 1.956632
62931 528688 0.156296 39 1 39 20383705.192276 1.474173
63752 531921 0.157795 51 1 51 74354366.239302 1.220881
9351 161179 0.158983 80 1 80 57438721.940631 1.482415
17003 244398 0.159279 38 1 38 31219663.536093 2.210747
68697 554198 0.161132 50 1 50 71006091.354009 1.346504
26803 353608 0.161367 114 1 114 64317032.474825 2.063948
28404 369856 0.161902 151 1 151 126503068.449096 2.676302
82564 669890 0.162641 81 1 81 35259659.960546 1.984461
72318 585415 0.163360 16 1 16 11604573.286004 1.704805
24697 327303 0.164480 37 1 37 37345557.540877 1.400315
31452 392752 0.165194 31 1 31 29689525.256428 1.730733
40304 440485 0.165308 94 1 94 67610379.844342 1.606918
44380 458109 0.165314 5 1 5 10467775.059127 1.011289
25082 332518 0.165629 194 1 194 88725871.753486 1.525643
21611 292053 0.166196 97 1 97 43383386.646959 2.148197
101306 798786 0.166264 55 1 55 59427476.822199 1.859176
92523 738178 0.166319 57 1 57 45886675.331177 1.906745
94341 751200 0.166438 46 1 46 40772000.475184 1.684409
72476 587336 0.167313 34 1 34 46875694.822302 1.436505
56989 505533 0.167451 32 1 32 15840668.961640 1.458961
73286 596018 0.167649 58 1 58 81089564.914280 1.471211
80219 654583 0.168125 72 1 72 46556982.135233 1.200965
11099 181051 0.168341 41 1 41 23759281.731885 1.203074
72886 591847 0.168535 21 1 21 15831579.217106 1.652467
28492 370677 0.169344 80 1 80 44353926.330819 1.948024
73335 596495 0.169400 61 1 61 26902504.129733 1.973121
70277 564490 0.170915 46 1 46 41261809.217144 1.305600
28586 371505 0.171671 84 1 84 81209248.541387 1.776057
53138 490396 0.171678 37 1 37 23204187.909042 1.260736
90164 721962 0.173313 147 1 147 74371890.488666 1.664412
84551 683024 0.176791 29 1 29 26160718.181972 1.854631
16425 238516 0.176902 21 1 21 18274191.680961 1.156768
103787 817082 0.176957 83 1 83 12976981.376919 2.202668
27932 365448 0.177889 12 1 12 33947115.865778 1.068954
24238 321886 0.178505 45 1 45 30408633.767573 1.025628
102475 807493 0.178989 31 1 31 22427063.382476 1.543211
38206 429283 0.179234 29 1 29 15690755.577792 1.518356
99994 789463 0.179267 50 1 50 45665105.342870 1.336737
56129 502010 0.179763 17 1 17 19044473.730415 1.359035
69895 561837 0.180389 25 1 25 33925103.906986 1.789706
44323 457916 0.180479 111 1 111 53514962.309428 1.838576
20278 278366 0.180533 29 1 29 22664536.584422 1.888776
30154 384139 0.180552 174 1 174 154922503.683218 1.909140
74281 606368 0.180952 15 1 15 12206199.365921 1.771799
75702 620439 0.180998 24 1 24 14620836.165869 1.383466
55464 499220 0.181162 30 1 30 28091525.302255 1.677487
39308 435368 0.181884 151 1 151 71130979.358970 1.413552
71400 575244 0.183351 88 1 88 102106071.262995 1.060558
76568 628134 0.183616 47 1 47 27026743.720404 1.883811
14053 213701 0.183690 148 1 148 79918562.833606 1.858465
71290 574089 0.183797 7 1 7 6252920.070549 1.180462
34935 412019 0.183848 31 1 31 15168597.788175 2.060524
26158 345776 0.185281 28 1 28 22617526.548397 2.316170
26603 351155 0.185485 39 1 39 26446532.375590 1.584914
101440 799685 0.185889 37 1 37 22412798.268096 1.547173
42355 449815 0.186277 11 1 11 16054661.034521 1.968856
70761 568700 0.187541 78 1 78 88964488.212206 2.008079
108771 864133 0.187572 191 1 191 29924848.453097 1.902340
31051 390415 0.187727 68 1 68 37986617.447747 1.928841
72242 584556 0.187960 83 1 83 113374658.446515 1.034551
7026 135089 0.188011 73 1 73 39039727.572378 1.717608
81042 660091 0.188046 25 1 25 20041837.289640 1.924710
52734 488921 0.188336 14 1 14 15714095.079525 1.862135
78174 640871 0.188799 32 1 32 26429008.126226 1.658845
72529 587934 0.188854 10 1 10 13278838.705155 1.067587
66352 542579 0.189113 27 1 27 13286844.915283 1.314593
21230 287891 0.189457 195 1 195 30428819.928233 1.813356
22040 296563 0.189609 125 1 125 40640884.280332 1.369361
71065 571581 0.189912 71 1 71 48737684.710176 1.788241
65265 537866 0.190608 10 1 10 10883736.238870 2.448805
18063 255701 0.190881 83 1 83 51411642.860936 1.572124
55928 501265 0.192387 11 1 11 15892067.738597 1.723554
