# 641947 non-edge tracers in default, 14312 voids
# VoidID CoreParticle CoreDens Zone#Parts Void#Zones Void#Parts VoidVol(Mpc/h^3) VoidDensRatio
72443 580504 0.147477 19 1 19 27485674.247112 1.735279
69708 552838 0.148171 144 1 144 70108171.979963 1.629575
22459 293176 0.148595 22 1 22 16467941.286532 1.800777
68121 535944 0.150746 42 1 42 18362458.603600 1.703338
71090 567187 0.152089 39 1 39 22757903.625963 1.688410
28204 355594 0.152587 141 1 141 125651670.714430 1.204633
73584 590956 0.153859 12 1 12 17287222.860498 2.041576
17453 241751 0.153975 7 1 7 8957847.872811 1.893064
73718 592031 0.154262 22 1 22 22399059.042920 1.497872
8559 145063 0.154881 132 1 132 67772247.882566 1.661720
79647 632979 0.155171 32 1 32 22020293.672926 2.405807
71984 575919 0.155917 52 1 52 68410902.903862 1.481977
84312 664773 0.157782 74 1 74 56448353.158588 2.529310
80118 636087 0.157920 51 1 51 45130732.130409 1.537367
20992 277660 0.160541 35 1 35 27104276.809339 1.066491
72288 579102 0.160667 103 1 103 68382490.994147 1.023703
24597 318079 0.161337 37 1 37 27979944.125700 2.195988
47576 449239 0.162194 39 1 39 21208877.654930 2.019477
52041 465486 0.163148 42 1 42 46236651.293775 1.646591
42034 428977 0.163278 15 1 15 10754670.405655 1.913239
73283 588238 0.165117 34 1 34 17943985.065879 1.876706
69592 551573 0.165915 148 1 148 89091780.551348 1.547712
68821 542657 0.166583 137 1 137 128538976.955629 1.234625
90427 706799 0.166895 33 1 33 33721529.565840 1.697670
28041 354353 0.166975 29 1 29 39921707.746671 1.790457
26584 341066 0.167693 36 1 36 19592986.345614 1.112856
23175 301560 0.168336 75 1 75 55320764.505706 1.295368
13525 200517 0.169672 11 1 11 10910506.845984 2.438080
5238 107538 0.170653 46 1 46 38580326.684329 1.696965
91367 713240 0.171612 50 1 50 40898853.895384 2.018491
73950 594011 0.171646 8 1 8 15395723.407444 1.659230
65736 520209 0.172091 104 1 104 42408002.236792 1.933615
40632 423225 0.173428 29 1 29 19361923.244842 2.048741
27458 349316 0.174582 29 1 29 42478977.927495 1.431149
31343 376182 0.174640 11 1 11 11830502.870973 1.278629
68414 538686 0.175179 49 1 49 72845991.193651 1.326670
51551 463671 0.175916 20 1 20 40005320.968282 1.245630
73189 587483 0.178026 41 1 41 26073497.772682 1.507585
39289 417023 0.179939 88 1 88 93469972.910261 1.475977
68217 536854 0.180363 24 1 24 50868784.109697 1.143052
92599 721230 0.181025 90 1 90 74300244.696809 1.667552
56565 483257 0.181069 26 1 26 17499333.270481 1.586813
16256 228938 0.181224 115 1 115 13449482.352963 2.179744
50856 461129 0.181418 35 1 35 29741248.165829 1.207851
26118 336009 0.182036 98 1 98 68599059.694277 1.037001
48080 451019 0.182215 30 1 30 45706794.416597 1.593104
49078 454445 0.182465 16 1 16 28051118.122880 1.179175
33378 386713 0.182872 57 1 57 38903043.432938 2.075789
25866 333328 0.183207 82 1 82 65143857.788148 1.489235
67910 534174 0.183217 133 1 133 137416923.543511 1.122532
75179 603421 0.183500 41 1 41 31530477.363412 2.443201
68392 538534 0.183820 79 1 79 68127775.339094 2.058343
3656 86767 0.184038 46 1 46 18976920.234771 2.515299
55594 479399 0.184103 24 1 24 19041279.700305 1.952874
79322 630992 0.184229 68 1 68 54950598.425644 1.957612
54684 475755 0.184239 72 1 72 55003834.700637 1.961603
17206 239161 0.184447 13 1 13 14520715.910814 2.717871
27189 346820 0.184717 21 1 21 20382480.484033 1.821662
90547 707561 0.187796 130 1 130 22079803.643718 2.184755
58544 490862 0.187972 24 1 24 17114153.587367 2.182941
14616 212298 0.188379 88 1 88 72622121.209615 1.607502
55157 477654 0.188860 65 1 65 32378057.271565 2.190008
71650 572645 0.189098 52 1 52 34245022.607911 1.553977
69895 555093 0.189345 92 1 92 46026464.456614 1.275213
71506 571436 0.189433 17 1 17 10783280.621847 1.187582
48009 450769 0.190175 24 1 24 25567293.449784 1.881134
16679 233693 0.190467 19 1 19 19776600.114934 1.279873
24318 314991 0.191230 85 1 85 48781788.723813 2.158593
81050 642730 0.191418 15 1 15 20552627.440816 1.547839
64968 516264 0.192423 32 1 32 29986084.552782 1.521426
27440 349144 0.192479 47 1 47 34669578.746101 1.298072
1070 30248 0.193281 88 1 88 15575722.590533 1.746629
24184 313617 0.193310 80 1 80 82111068.079261 1.711289
22275 291157 0.193570 10 1 10 6696319.351443 2.195969
24429 316064 0.193619 26 1 26 24421478.628931 1.858498
55388 478563 0.193683 29 1 29 24493103.322648 2.003179
68935 544128 0.193843 22 1 22 39363601.210532 1.063564
27314 348031 0.194753 27 1 27 13736314.643267 1.093061
57094 485311 0.195181 8 1 8 16475067.700181 1.012666
68847 542945 0.195203 21 1 21 14368339.017106 1.922290
44904 439937 0.195716 29 1 29 32244597.012922 1.053943
68423 538766 0.195851 31 1 31 46976190.227993 1.727820
68877 543253 0.195874 36 1 36 16727564.125484 1.432424
19288 260795 0.196129 17 1 17 13154140.912033 1.674539
43321 433973 0.196275 23 1 23 29620587.688847 1.353130
65743 520232 0.196930 53 1 53 40915926.280219 1.303964
9622 157984 0.197078 11 1 11 16419693.320815 1.305924
54421 474623 0.197210 14 1 14 5344761.561287 3.387469
83602 660143 0.197426 82 1 82 37371035.763155 1.701559
14805 214266 0.197466 81 1 81 62420478.891516 1.712165
53841 472384 0.197670 21 1 21 18135379.660219 1.930551
46742 446437 0.198056 10 1 10 16947556.316512 1.465679
36892 404977 0.198146 287 1 287 44828386.865289 1.853110
15369 219996 0.198155 77 1 77 43290015.360399 1.586064
25928 334162 0.200763 150 1 150 25240862.961707 1.454555
47095 447666 0.201299 128 1 128 25347335.511692 1.495414
27658 351019 0.201624 44 1 44 51375294.906239 1.530015
33601 387761 0.202470 47 1 47 41932283.027681 1.307986
79492 631954 0.202531 40 1 40 26956899.041624 1.225523
15630 222695 0.203077 34 1 34 22657993.217562 1.923574
71607 572265 0.203410 161 1 161 82743846.017710 1.618410
65500 518998 0.203614 62 1 62 52764251.495065 1.097344
79785 633873 0.203921 111 1 111 18093266.575768 1.700809
56149 481600 0.203976 48 1 48 22586837.248244 2.068021
87070 683778 0.204246 58 1 58 8860778.655381 1.948821
93980 730696 0.204439 7 1 7 7519646.377527 2.187300
