# 12629 voids from default
# VoidID RA(deg) Dec(deg) redshift R_eff(Mpc/h) delta_min delta_avg lambda_v DensRatio Theta_eff(deg) EdgeFlag
2839 204.569233 24.804 1.707 181.6856 -0.758 -0.241175 -124.026973 1.482543 3.171211 0
105655 19.550079 -20.406 1.965 189.6297 -0.758 -0.164977 -89.312133 1.742520 3.052194 0
20838 125.803252 37.523 1.569 191.7230 -0.757 -0.214096 -117.440475 1.761302 3.523028 0
68870 66.884254 -44.805 1.736 148.8832 -0.757 -0.182966 -74.094421 1.727935 2.573324 0
37388 254.907200 58.825 0.872 136.9053 -0.756 -0.199522 -73.062683 1.729212 3.780446 1
70818 48.093846 -58.464 1.640 170.5149 -0.756 -0.212363 -101.202889 1.332604 3.049682 0
4233 152.379624 28.935 1.691 168.9930 -0.756 -0.274464 -129.398292 1.339180 2.967070 0
385 189.031805 -11.761 1.833 178.2805 -0.756 -0.178707 -89.839145 1.564235 2.984389 0
17215 225.635560 20.704 1.184 164.3136 -0.755 -0.261259 -119.091050 1.730069 3.631017 0
8666 204.172282 3.418 1.084 153.1635 -0.755 -0.195491 -81.905444 1.788318 3.599911 1
59324 79.068003 -44.496 2.037 176.4235 -0.755 -0.191199 -94.919204 1.794759 2.783215 1
19489 236.674631 36.110 1.690 205.3433 -0.755 -0.208679 -124.295447 1.643452 3.605946 0
32304 255.492691 35.537 1.168 144.9145 -0.755 -0.332698 -130.432005 1.547970 3.233185 0
22444 216.149638 47.196 1.026 150.5200 -0.754 -0.219485 -90.056963 1.685566 3.680219 0
31054 251.448803 34.234 0.970 175.1944 -0.754 -0.211743 -104.239729 1.526141 4.465862 0
86914 21.266702 -24.621 1.023 162.9522 -0.753 -0.308034 -139.018118 1.430485 3.994696 0
90227 341.337970 19.251 1.026 199.9644 -0.753 -0.201931 -116.505615 1.865829 4.892331 1
97784 9.937203 19.052 1.217 164.2486 -0.753 -0.283969 -129.381621 1.349928 3.562258 0
94294 31.022100 -35.861 1.673 171.4189 -0.753 -0.235004 -112.705842 1.344254 3.028553 0
