# 41491 superclusters from default
# ClusterID RA(deg) Dec(deg) redshift R_eff(Mpc/h) delta_max delta_avg lambda_c DensRatio Theta_eff(deg) EdgeFlag
5112 181.847119 -18.689306 1.398725 118.009893 8.659248 -0.156550 -323.386735 7.444919 2.331995 0
17872 225.156572 9.106167 1.447458 95.733748 8.657140 -0.198779 -293.816168 5.555955 1.850506 0
98040 48.142767 -53.330684 1.819744 110.702314 8.639622 -0.164553 -306.871040 6.602673 1.861176 0
23568 143.133647 -37.751381 1.392377 124.880096 8.607622 -0.363743 -822.591329 7.974219 2.475057 1
142200 355.642248 -15.969324 2.123816 78.875738 8.573415 0.146347 158.669282 8.127607 1.216428 1
114982 0.745814 -31.372867 1.009489 73.063009 8.565749 0.129144 123.876488 3.545949 1.808256 0
1944 156.569686 13.905324 1.925280 112.880299 8.544462 -0.005235 -10.071326 4.627931 1.837608 0
10580 139.874970 10.881066 1.629439 95.716178 8.524520 0.035276 52.126079 5.090589 1.718322 0
92018 306.159554 -60.461820 1.786883 90.250726 8.456922 0.081296 109.342542 4.342277 1.533501 0
125947 321.762827 -24.771709 1.715550 114.717121 8.414839 -0.092339 -182.301101 6.342426 1.996597 0
36607 217.757413 62.534126 1.755341 85.044779 8.395194 -0.064475 -78.854880 7.769224 1.460214 0
53965 252.946559 -63.585517 1.241475 136.315277 8.388274 -0.131742 -342.764960 6.357837 2.915797 1
91013 295.951368 -9.577790 0.889002 89.863310 8.377884 0.285785 381.743659 2.956009 2.444868 1
6760 145.842987 -6.183874 1.623538 112.755198 8.364135 -0.082215 -157.895943 6.553124 2.028689 0
7776 218.594602 16.012127 1.812229 124.861840 8.342452 -0.167309 -378.274173 4.981285 2.104274 0
60300 267.412883 18.566445 1.598840 67.373019 8.164076 0.227423 191.607282 5.435573 1.223591 1
91935 292.059165 -19.662455 1.296820 118.367556 8.145782 0.155927 323.664164 5.704303 2.458552 0
